hour,minute,Mean_date,Mean_depth,Mean_salinity,Mean_temp
9,54,2021-01-15T09:54:40Z,-0.009,34.79257546,29.163333333333334
9,55,2021-01-15T09:55:25Z,-0.005333333333333333,34.55431720833333,29.173333333333332
9,56,2021-01-15T09:56:25Z,0.25283333333333335,34.475779366666664,29.153333333333332
9,57,2021-01-15T09:57:25Z,0.271,34.37336095166667,29.148333333333333
9,58,2021-01-15T09:58:25Z,0.2935,34.35716652333333,29.133333333333333
9,59,2021-01-15T09:59:25Z,0.2655,34.36474024333333,29.12666666666667
10,0,2021-01-15T10:00:25Z,0.263,34.32473379166667,29.130000000000003
10,1,2021-01-15T10:01:25Z,0.2845,34.32714420333333,29.113333333333333
10,2,2021-01-15T10:02:25Z,0.2575,34.27130458833334,29.123333333333335
10,3,2021-01-15T10:03:25Z,0.24883333333333332,34.201042601666664,29.156666666666666
10,4,2021-01-15T10:04:25Z,0.2851666666666667,34.199739148333336,29.148333333333333
10,5,2021-01-15T10:05:25Z,0.26616666666666666,34.13275083833334,29.17666666666667
10,6,2021-01-15T10:06:25Z,0.26183333333333336,34.1037702,29.178333333333335
10,7,2021-01-15T10:07:25Z,0.2683333333333333,34.09413979,29.195
10,8,2021-01-15T10:08:25Z,0.2815,34.063554215,29.196666666666665
10,9,2021-01-15T10:09:25Z,0.26116666666666666,34.05128130833334,29.198333333333334
10,10,2021-01-15T10:10:25Z,0.26366666666666666,34.08667679,29.213333333333335
10,11,2021-01-15T10:11:25Z,0.2713333333333333,34.148533183333335,29.196666666666665
10,12,2021-01-15T10:12:25Z,0.267,34.09020599666667,29.196666666666665
10,13,2021-01-15T10:13:25Z,0.26983333333333337,34.05866182,29.14666666666667
10,14,2021-01-15T10:14:25Z,0.261,34.004000250000004,29.086666666666666
10,15,2021-01-15T10:15:25Z,0.2733333333333333,34.001272003333334,28.808333333333334
10,16,2021-01-15T10:16:25Z,0.26133333333333336,34.00017504666667,28.733333333333334
10,17,2021-01-15T10:17:25Z,0.2813333333333333,33.978373403333336,28.740000000000002
10,18,2021-01-15T10:18:25Z,0.27183333333333337,33.97980046833334,28.805
10,19,2021-01-15T10:19:25Z,0.271,33.590929,28.746666666666666
10,20,2021-01-15T10:20:25Z,0.2768333333333333,33.859406836666665,28.82333333333333
10,21,2021-01-15T10:21:25Z,0.2605,33.862649475,28.816666666666666
10,22,2021-01-15T10:22:25Z,0.254,33.76857015833333,28.8
10,23,2021-01-15T10:23:25Z,0.2665,33.75194912333333,28.884999999999998
10,24,2021-01-15T10:24:25Z,0.24766666666666667,33.75069075166667,29.03333333333333
10,25,2021-01-15T10:25:25Z,0.2695,33.744147025000004,29.061666666666667
10,26,2021-01-15T10:26:25Z,0.27749999999999997,33.84417198166666,29.11
10,27,2021-01-15T10:27:25Z,0.253,33.92407065,29.226666666666667
10,28,2021-01-15T10:28:25Z,0.25966666666666666,33.933402705,29.183333333333334
10,29,2021-01-15T10:29:25Z,0.2925,33.907096435,29.166666666666668
10,30,2021-01-15T10:30:25Z,0.279,33.84606854,29.189999999999998
10,31,2021-01-15T10:31:25Z,0.25116666666666665,33.720548838333336,29.348333333333333
10,32,2021-01-15T10:32:25Z,0.26266666666666666,33.541841858333335,29.295
10,33,2021-01-15T10:33:25Z,0.27266666666666667,33.10596493,29.188333333333333
10,34,2021-01-15T10:34:25Z,0.25983333333333336,32.723241746666666,29.205
10,35,2021-01-15T10:35:25Z,0.25566666666666665,33.26492487,29.293333333333333
10,36,2021-01-15T10:36:25Z,0.275,33.38640071166667,29.283333333333335
10,37,2021-01-15T10:37:25Z,0.26016666666666666,32.89664886833333,29.293333333333333
10,38,2021-01-15T10:38:25Z,0.24633333333333335,32.867044945,29.291666666666664
10,39,2021-01-15T10:39:25Z,0.269,33.607756906666665,29.311666666666667
10,40,2021-01-15T10:40:25Z,0.2675,33.80796518166667,29.266666666666666
10,41,2021-01-15T10:41:25Z,0.2445,33.64020140666667,29.303333333333335
10,42,2021-01-15T10:42:25Z,0.26116666666666666,33.721541035,29.346666666666668
10,43,2021-01-15T10:43:25Z,0.289,33.78705896666667,29.34
10,44,2021-01-15T10:44:25Z,0.2593333333333333,33.71837316333333,29.368333333333332
10,45,2021-01-15T10:45:25Z,0.25483333333333336,33.64514896833333,29.37
10,46,2021-01-15T10:46:25Z,0.2583333333333333,33.59623763166667,29.37
10,47,2021-01-15T10:47:25Z,0.26866666666666666,33.559091755,29.351666666666667
10,48,2021-01-15T10:48:25Z,0.27266666666666667,33.63585874666667,29.398333333333333
10,49,2021-01-15T10:49:25Z,0.2685,33.654161046666665,29.4
10,50,2021-01-15T10:50:25Z,0.25883333333333336,33.64345001666667,29.406666666666666
10,51,2021-01-15T10:51:25Z,0.24866666666666667,33.654042185,29.39
10,52,2021-01-15T10:52:25Z,0.27216666666666667,33.65815485833333,29.395
10,53,2021-01-15T10:53:25Z,0.26866666666666666,33.67203159,29.413333333333334
10,54,2021-01-15T10:54:25Z,0.2445,33.66884147166667,29.41166666666667
